news,6
aaaksjdbas,1
asdasfs,1
adgadfg,1
sdfgsdfgdsfg,1
alskdnaasdak,3
todays,3
score,3
jhsad,2
adfkghadj,1
go,3
sports,3
private,4
ad,4
asd,4
askda,1
dskuabdsfkjads,1
fk,1
sd,1
fvasd,1
fasd,1
agbsf,1
actual,4
until,4
days,4
left,4
aasdgadfga,1
hts,1
jeiykryu,1
trshage,1
fsagrsh,1
dsfg,1
aky,1
asydfa,1
ksdb,1
asdk,1
fablsdfkausdb,1
lfauskd,1
blasd,1
ku,1
ba,1
jg,1
hg,2
past,1
lasdfnasdfjasnfd,1
asdlfsdaf,1
asdlfsdafqwe,1
qwe,1
saljfdasnfilasdf,1
asdlksndfasn,1
adf,2
sdf,1
dfoaidfnv,1
oaisdl,1
iasoldfn,1
c,1
xm,1
asldknfasln,1
nsdlv,1
s,1
pasta,1
sacvdfs,1
btsrevfdc,1
asdvzs,1
erdfzcx,1
